Source,Target,Score
FUS,SF3B3,0.76
FUS,SRSF10,0.95
FUS,UBQLN2,0.9
FUS,MAPT,0.88
FUS,HEXIM1,0.74
FUS,P4HB,0.71
FUS,EWSR1,0.93
FUS,RBM10,0.81
FUS,SNRPE,0.74
FUS,HNRNPCL1,0.75
FUS,NUPR1,0.76
FUS,DHX36,0.75
FUS,LARP7,0.75
FUS,RELA,0.81
FUS,KAT5,0.86
FUS,SMN1,0.84
FUS,EXOSC10,0.75
FUS,HNRNPA3,0.88
FUS,HNRNPF,0.84
FUS,PCBP1,0.75
FUS,AR,0.82
FUS,HNRNPH1,0.9
FUS,DNAJC7,0.75
FUS,SNRPD1,0.76
FUS,SMAD3,0.71
FUS,HNRNPK,0.88
FUS,CTSB,0.71
FUS,TRA2A,0.74
FUS,U2SURP,0.81
FUS,ZNF326,0.76
FUS,EIF4A1,0.71
FUS,SHANK1,0.71
FUS,SRSF2,0.9
FUS,SAFB,0.76
FUS,ZC3H18,0.76
FUS,LARP1,0.76
FUS,MOV10,0.75
FUS,SRSF12,0.72
FUS,HNRNPU,0.9
FUS,HNRNPDL,0.87
FUS,KCNE4,0.7
FUS,ATM,0.71
FUS,RBMX,0.9
FUS,NONO,0.93
FUS,MEPCE,0.74
FUS,G3BP1,0.84
FUS,SNRNP200,0.87
FUS,PARP1,0.74
FUS,ILF2,0.76
FUS,AKT1,0.74
FUS,SOD1,0.95
FUS,SMAD4,0.7
FUS,EIF4A3,0.9
FUS,MFAP1,0.7
FUS,SMARCC2,0.74
FUS,HNRNPD,0.9
FUS,MDC1,0.75
FUS,CDK9,0.75
FUS,TRA2B,0.86
FUS,SRSF1,0.88
FUS,IGF2BP3,0.76
FUS,C2ORF49,0.77
FUS,RC3H1,0.76
FUS,DHX9,0.76
XRN2,FUS,0.74
DDX18,FUS,0.72
DDX1,FUS,0.85
TNPO1,FUS,0.98
CPSF1,FUS,0.74
PABPC1,FUS,0.86
ELAVL1,FUS,0.77
YBX1,FUS,0.94
THRAP3,FUS,0.76
MATR3,FUS,0.88
TOMM34,FUS,0.77
ZCCHC8,FUS,0.75
RUNX3,FUS,0.71
BRCA1,FUS,0.75
RBM6,FUS,0.74
PTBP1,FUS,0.87
RPS20,FUS,0.74
HTRA2,TIA1,0.74
TIA1,PCBP2,0.92
TIA1,GTF2F2,0.81
TIA1,MAPT,0.9
TIA1,MPI,0.77
TIA1,POLR2L,0.81
TIA1,RPS6KA3,0.93
TIA1,CSTF3,0.73
TIA1,HNRNPF,0.81
TIA1,PCBP1,0.77
TIA1,HNRNPH1,0.81
TIA1,POLR2G,0.81
TIA1,KRTCAP2,0.76
TIA1,FUBP1,0.77
TIA1,EIF4A1,0.82
TIA1,EIF4A2,0.75
TIA1,TIAL1,0.98
TIA1,POLR2K,0.82
TIA1,G3BP1,0.99
TIA1,POLR2D,0.82
TIA1,PARN,0.75
TIA1,G3BP2,0.86
TIA1,NCBP1,0.84
TIA1,HNRNPA1,0.72
TIA1,CAPRIN1,0.82
TIA1,STT3A,0.82
TIA1,DAD1,0.85
TIA1,GTF2F1,0.81
TIA1,SNRPC,0.96
TIA1,NCOA3,0.87
TIA1,HNRNPA2B1,0.73
TIA1,TARDBP,0.93
NCBP2,TIA1,0.82
SRSF3,TIA1,0.87
MLEC,TIA1,0.82
DDX58,TIA1,0.71
EIF3B,TIA1,0.88
POLR2I,TIA1,0.81
POLR2C,TIA1,0.82
FMR1,TIA1,0.76
MAGT1,TIA1,0.81
POLR2F,TIA1,0.81
HNRNPM,TIA1,0.81
SNRPA,TIA1,0.75
PABPC1,TIA1,0.94
ELAVL1,TIA1,0.97
POLR2B,TIA1,0.81
POLR2J,TIA1,0.81
TIA1,ATXN2,0.88
TIA1,OSTC,0.84
TIA1,POLR2H,0.81
EIF4G1,TIA1,0.94
TIA1,EIF4E,0.93
TIA1,RPL7L1,0.75
TIA1,TMEM258,0.76
TIA1,LSM4,0.75
TIA1,RPS6KA1,0.73
ESRP1,TIA1,0.81
POLR2E,TIA1,0.81
ESRP2,TIA1,0.81
RBFOX2,TIA1,0.81
RPS6KA2,TIA1,0.73
DDX5,TARDBP,0.77
PABPN1,TARDBP,0.84
PPP1R15A,TARDBP,0.85
TARDBP,INS,0.7
TARDBP,PARG,0.73
TARDBP,TRIM16,0.74
TARDBP,ATXN2,0.94
TARDBP,RACK1,0.82
TARDBP,HNRNPAB,0.72
TARDBP,HTT,0.72
TARDBP,UBQLN2,0.9
TARDBP,MAPT,0.82
TARDBP,WWOX,0.76
TARDBP,P4HB,0.71
TARDBP,PRKN,0.76
TARDBP,KPNA2,0.72
TARDBP,SMN1,0.86
TARDBP,PRNP,0.73
TARDBP,EXOSC10,0.86
TARDBP,HSPA4,0.84
TARDBP,HNRNPA3,0.88
TARDBP,HNRNPH1,0.76
TARDBP,VCP,0.73
TARDBP,HNRNPK,0.81
TARDBP,CCNF,0.76
TARDBP,EIF4A1,0.76
TARDBP,SRSF2,0.88
TARDBP,SQSTM1,0.9
TARDBP,RBM45,0.82
TARDBP,HNRNPDL,0.9
TARDBP,TIAL1,0.88
TARDBP,CELF1,0.89
TARDBP,NONO,0.84
TARDBP,G3BP1,0.95
TARDBP,RASA1,0.71
TARDBP,SNCA,0.95
TARDBP,SNRNP200,0.76
TARDBP,APP,0.85
TARDBP,SOD1,0.9
TARDBP,EIF4A3,0.87
TARDBP,HNRNPA1,0.98
TARDBP,CAPRIN1,0.76
TARDBP,UBQLN1,0.82
TARDBP,TRIM28,0.76
TARDBP,UPF3B,0.7
TARDBP,STAU1,0.86
TARDBP,OPTN,0.85
TARDBP,HNRNPA2B1,0.98
TARDBP,PSPC1,0.85
NCF2,TARDBP,0.77
NID1,TARDBP,0.75
DROSHA,TARDBP,0.98
SRSF3,TARDBP,0.74
SLC1A2,TARDBP,0.71
CHCHD2,TARDBP,0.73
FMR1,TARDBP,0.93
ZNF106,TARDBP,0.74
NDRG3,TARDBP,0.76
DICER1,TARDBP,0.97
HDAC6,TARDBP,0.86
HNRNPC,TARDBP,0.9
XRN2,TARDBP,0.77
HSP90AA1,TARDBP,0.76
PABPC1,TARDBP,0.88
ELAVL1,TARDBP,0.7
RNF4,TARDBP,0.76
TP53BP1,TARDBP,0.74
MATR3,TARDBP,0.98
PTBP1,TARDBP,0.9
OPTN,GABARAP,0.99
OPTN,CD300C,0.75
OPTN,RAB8A,0.99
OPTN,MYO5B,0.97
OPTN,MAP1A,0.75
OPTN,RAB8B,0.88
OPTN,PINK1,0.86
OPTN,WIPI2,0.76
OPTN,RAB39B,0.71
OPTN,TNIP1,0.89
OPTN,RPS27A,0.75
OPTN,SOD1,0.76
OPTN,RIPK1,0.95
OPTN,UBQLN1,0.76
OPTN,RTN3,0.7
OPTN,RAB25,0.85
OPTN,TRAF2,0.85
OPTN,RBCK1,0.81
OPTN,RBM12,0.71
OPTN,HTT,0.98
OPTN,MYO6,0.92
OPTN,NBR1,0.89
OPTN,UBQLN2,0.89
OPTN,ERAS,0.72
OPTN,PRKN,0.76
OPTN,IRAK1,0.81
OPTN,CNTN2,0.73
OPTN,TBK1,1.0
EPM2A,OPTN,0.74
TRADD,OPTN,0.87
RAB11A,OPTN,0.98
TBC1D17,OPTN,0.93
MAP1LC3A,OPTN,0.85
XIAP,OPTN,0.81
RNF31,OPTN,0.85
RAB10,OPTN,0.88
EPS15,OPTN,0.73
CASP8,OPTN,0.73
TNFRSF1A,OPTN,0.87
ATG5,OPTN,0.76
GABARAPL2,OPTN,0.99
RB1CC1,OPTN,0.96
BIRC3,OPTN,0.81
OPTN,UBB,0.97
OPTN,SQSTM1,0.97
OPTN,SPATA2,0.81
OPTN,UBC,0.97
OPTN,MAP1LC3B,0.99
OPTN,GABARAPL1,0.99
OPTN,CALCOCO2,0.95
OPTN,TOMM40,0.71
TBC1D15,OPTN,0.76
OPTN,IKBKG,0.73
OPTN,TNF,0.93
OPTN,ATG9A,0.77
OPTN,MYH6,0.84
OPTN,SHARPIN,0.81
GTF3A,OPTN,0.96
BIRC2,OPTN,0.86
TAX1BP1,OPTN,0.92
CDC23,OPTN,0.77
MAVS,OPTN,0.74
CYLD,OPTN,0.93
TFRC,OPTN,0.9
C9ORF72,CFL2,0.86
C9ORF72,WDR41,1.0
C9ORF72,RAB39B,0.86
C9ORF72,ELMO1,0.89
C9ORF72,PDE3B,0.89
C9ORF72,LAMTOR1,0.89
C9ORF72,LAMTOR4,0.89
C9ORF72,PRSS57,0.74
C9ORF72,TBK1,0.81
C9ORF72,NPM1,0.73
C9ORF72,ULK1,0.97
C9ORF72,SMCR8,1.0
C9ORF72,RAB6A,0.71
C9ORF72,ATG13,0.88
C9ORF72,CFL1,0.86
C9ORF72,KNDC1,0.89
C9ORF72,HNRNPH1,0.77
C9ORF72,RAB8A,0.86
RAB33A,C9ORF72,0.77
RAB13,C9ORF72,0.73
RAB1A,C9ORF72,0.92
RAB15,C9ORF72,0.71
TANK,C9ORF72,0.77
VRTN,C9ORF72,0.86
RAB25,C9ORF72,0.77
LAMTOR5,C9ORF72,0.89
ATG101,C9ORF72,0.88
RAB38,C9ORF72,0.76
EIF2B2,C9ORF72,0.82
RAB29,C9ORF72,0.88
LAMTOR2,C9ORF72,0.89
LAMTOR3,C9ORF72,0.89
RGP1,C9ORF72,0.89
RIC1,C9ORF72,0.89
RAB11A,C9ORF72,0.7
RAB10,C9ORF72,0.73
ULK2,C9ORF72,0.95
EIF2B3,C9ORF72,0.84
PQLC2,C9ORF72,0.71
RB1CC1,C9ORF72,0.97
C9ORF72,DOCK1,0.89
TRIM50,SQSTM1,0.77
SQSTM1,SYNPO2,0.82
SQSTM1,EIF2AK3,0.81
SQSTM1,INSR,0.82
SQSTM1,KIF5B,0.85
SQSTM1,GABARAP,1.0
SQSTM1,FADD,0.86
SQSTM1,ULK4,0.71
SQSTM1,CD300C,0.96
SQSTM1,MAP1A,0.97
SQSTM1,PLIN1,0.76
SQSTM1,VCP,0.76
SQSTM1,SEPT8,0.95
SQSTM1,CAMP,0.71
SQSTM1,RNF168,0.76
SQSTM1,PRKCD,0.76
SQSTM1,DTX3L,0.73
SQSTM1,WDFY3,0.97
SQSTM1,AIM2,0.76
SQSTM1,PRKCI,0.92
SQSTM1,TGFBR2,0.85
SQSTM1,WDCP,0.81
SQSTM1,VANGL2,0.77
SQSTM1,GBP2,0.7
ATM,SQSTM1,0.81
SQSTM1,EEF1G,0.81
SQSTM1,TRIM13,0.76
SQSTM1,DCTN1,0.81
SQSTM1,TGM2,0.76
SQSTM1,NOS1AP,0.71
SQSTM1,MAP3K3,0.97
SQSTM1,MTOR,0.85
SQSTM1,SPRED2,0.76
SQSTM1,MAP1LC3C,0.88
SQSTM1,HTT,0.88
SQSTM1,SRC,0.71
SQSTM1,LRRK2,0.76
SQSTM1,NBR1,0.99
SQSTM1,MAPT,0.85
SQSTM1,PRKN,0.88
SQSTM1,IRAK1,0.94
SQSTM1,NIPSNAP1,0.88
SQSTM1,TBK1,0.86
SQSTM1,SOX2,0.76
SQSTM1,NPM1,0.87
SQSTM1,ULK1,0.76
SQSTM1,BNIP3,0.82
MSN,SQSTM1,0.81
PINK1,SQSTM1,0.88
MTERF3,SQSTM1,0.91
RAB39B,SQSTM1,0.82
PSMD4,SQSTM1,0.84
MAPK13,SQSTM1,0.77
ASZ1,SQSTM1,0.71
TRIM63,SQSTM1,0.76
BAG3,SQSTM1,0.9
RANBP2,SQSTM1,0.81
GJA1,SQSTM1,0.76
SOD1,SQSTM1,0.9
NIPSNAP2,SQSTM1,0.87
HADHB,SQSTM1,0.76
ITGB3BP,SQSTM1,0.91
NTRK2,SQSTM1,0.76
TRIM55,SQSTM1,0.76
RPTOR,SQSTM1,0.93
TP53,SQSTM1,0.76
RPS27A,SQSTM1,0.97
EML4,SQSTM1,0.81
SEPT12,SQSTM1,0.95
PARP9,SQSTM1,0.73
PPM1B,SQSTM1,0.81
ATIC,SQSTM1,0.81
CDK9,SQSTM1,0.76
LMO7,SQSTM1,0.81
RIPK1,SQSTM1,0.96
MAP2K5,SQSTM1,0.76
GCC2,SQSTM1,0.81
EDEM1,SQSTM1,0.74
AJUBA,SQSTM1,0.76
NGF,SQSTM1,0.81
TRIM21,SQSTM1,0.76
RARA,SQSTM1,0.87
MAP1B,SQSTM1,0.93
SESN2,SQSTM1,0.94
BECN1,SQSTM1,0.76
MAP1S,SQSTM1,0.93
HIP1,SQSTM1,0.81
RRBP1,SQSTM1,0.84
TRAF2,SQSTM1,0.95
SEPT6,SQSTM1,0.95
TRIM25,SQSTM1,0.76
TWIST1,SQSTM1,0.77
GBP1,SQSTM1,0.87
RRAGC,SQSTM1,0.71
FN1,SQSTM1,0.84
STRN,SQSTM1,0.81
ID2,SQSTM1,0.85
SRSF4,SQSTM1,0.7
CYP27B1,SQSTM1,0.76
MAPK14,SQSTM1,0.76
TFG,SQSTM1,0.81
CARS,SQSTM1,0.81
UBE2D3,SQSTM1,0.88
PPFIBP1,SQSTM1,0.81
CCND1,SQSTM1,0.7
DVL1,SQSTM1,0.73
CAV1,SQSTM1,0.76
RPS6KB1,SQSTM1,0.81
DDX58,SQSTM1,0.76
BNIP3L,SQSTM1,0.75
NEFM,SQSTM1,0.73
TGFB1,SQSTM1,0.75
PYCARD,SQSTM1,0.76
USP14,SQSTM1,0.76
RBX1,SQSTM1,0.85
MAP1LC3A,SQSTM1,0.97
PSMA6,SQSTM1,0.76
CSNK2A1,SQSTM1,0.76
TGFB2,SQSTM1,0.72
HDAC6,SQSTM1,0.93
EPS15,SQSTM1,0.73
RNF13,SQSTM1,0.81
EPDR1,SQSTM1,0.76
HADHA,SQSTM1,0.75
TOLLIP,SQSTM1,0.88
DLG1,SQSTM1,0.73
KCNAB2,SQSTM1,0.77
PDE4A,SQSTM1,0.75
CASP8,SQSTM1,0.95
ATG5,SQSTM1,0.93
NGFR,SQSTM1,0.89
PRKCZ,SQSTM1,0.98
HSPA5,SQSTM1,0.9
GABARAPL2,SQSTM1,1.0
RB1CC1,SQSTM1,0.88
VCL,SQSTM1,0.81
TPR,SQSTM1,0.81
CUL3,SQSTM1,0.89
CHDH,SQSTM1,0.9
CFTR,SQSTM1,0.76
DVL2,SQSTM1,0.76
SQSTM1,BCL2,0.76
SQSTM1,ENC1,0.84
SQSTM1,MFN1,0.92
SQSTM1,KRT8,0.89
SQSTM1,UBB,0.95
SQSTM1,CDK1,0.87
SQSTM1,SEPT2,0.95
SQSTM1,TUBA1A,0.72
SQSTM1,TPM4,0.81
SQSTM1,RAD54L2,0.86
SQSTM1,CCNF,0.76
SQSTM1,PSMC2,0.76
SQSTM1,IKBKG,0.76
SQSTM1,OTUD7B,0.76
SQSTM1,MAP1LC3B2,0.81
SQSTM1,TRIM26,0.75
SQSTM1,UBA52,0.95
SQSTM1,PHB2,0.84
SQSTM1,VDAC1,0.98
SQSTM1,NTRK1,0.76
SQSTM1,SERPINA1,0.84
SQSTM1,ISG15,0.9
SQSTM1,SEPT9,0.95
SQSTM1,RAD23A,0.76
SQSTM1,ERN1,0.73
SQSTM1,TRAF6,1.0
SQSTM1,RELA,0.87
NOTCH1,SQSTM1,0.76
VPS11,SQSTM1,0.71
SHC1,SQSTM1,0.77
ATG12,SQSTM1,0.94
UBC,SQSTM1,0.97
TTN,SQSTM1,0.92
SNCA,SQSTM1,0.82
SEC31A,SQSTM1,0.81
TPM3,SQSTM1,0.81
MAP1LC3B,SQSTM1,0.99
PEX5,SQSTM1,0.95
SEPT11,SQSTM1,0.95
GABARAPL1,SQSTM1,1.0
CALCOCO2,SQSTM1,0.95
UBE2D2,SQSTM1,0.88
IRF3,SQSTM1,0.76
KLC1,SQSTM1,0.81
NR4A1,SQSTM1,0.86
SEPT7,SQSTM1,0.71
RPS6KA1,SQSTM1,0.76
BCL11A,SQSTM1,0.81
NFE2L2,SQSTM1,0.76
MFN2,SQSTM1,0.92
BIRC6,SQSTM1,0.81
SOS1,SQSTM1,0.77
CUL2,SQSTM1,0.76
PRKAR1A,SQSTM1,0.82
TAX1BP1,SQSTM1,0.92
IKBKB,SQSTM1,0.89
USP10,SQSTM1,0.76
TRIB3,SQSTM1,0.76
SEPT3,SQSTM1,0.95
MAVS,SQSTM1,0.76
ESR1,SQSTM1,0.85
KEAP1,SQSTM1,0.99
ATG16L1,SQSTM1,0.93
CYLD,SQSTM1,0.97
SESN1,SQSTM1,0.87
NEDD4,SQSTM1,0.78
RNF4,SQSTM1,0.76
RAD51,SQSTM1,0.89
VIM,SQSTM1,0.74
VIRMA,VCP,0.76
SHH,VCP,0.81
VCP,ERCC6,0.76
VCP,TRIM13,0.82
VCP,SVIP,0.98
VCP,HTT,0.76
VCP,TUBB4B,0.73
VCP,UBQLN2,0.77
VCP,INSIG1,0.84
VCP,PPP1CC,0.86
UBXN7,VCP,0.99
VCP,FAAP100,0.77
VCP,UBOX5,0.88
VCP,NPLOC4,1.0
VCP,YOD1,0.98
VCP,AURKB,0.78
VCP,PLEC,0.77
VCP,CETN1,0.81
VCP,CLCF1,0.71
VCP,VCPIP1,0.96
VCP,UBXN2A,0.98
VCP,RNF139,0.89
VCP,HSPA4,0.82
VCP,SIK2,0.76
VCP,ASPSCR1,0.94
VCP,UBXN6,0.99
VCP,EEF2,0.73
VCP,CD3D,0.87
VCP,NEMF,0.84
VCP,WRN,0.77
PRKCD,VCP,0.75
IHH,VCP,0.81
UBXN1,VCP,0.98
ZFAND2B,VCP,0.86
ANKZF1,VCP,0.97
WIPI2,VCP,0.71
AMFR,VCP,0.99
OTULIN,VCP,0.76
NGLY1,VCP,0.93
UBXN4,VCP,0.99
SNRNP200,VCP,0.71
BRD4,VCP,0.76
RPS27A,VCP,0.9
RNF185,VCP,0.86
TP53,VCP,0.71
IQGAP1,VCP,0.73
TCF25,VCP,0.82
DERL1,VCP,0.99
OS9,VCP,0.9
TOR1A,VCP,0.74
MDM2,VCP,0.7
UBA1,VCP,0.76
NR0B2,VCP,0.75
APOE,VCP,0.71
UBE4B,VCP,0.98
RPA1,VCP,0.81
CANX,VCP,0.82
C3,VCP,0.82
COPS5,VCP,0.86
COIL,VCP,0.75
PARK7,VCP,0.85
PPP1R7,VCP,0.71
RAD23B,VCP,0.85
PACRG,VCP,0.77
FAF2,VCP,0.98
YWHAE,VCP,0.72
RPA3,VCP,0.81
CAV1,VCP,0.86
KPNB1,VCP,0.75
PSMA2,VCP,0.85
GRWD1,VCP,0.73
PPP2R1A,VCP,0.76
ZFAND1,VCP,0.93
STUB1,VCP,0.86
USP14,VCP,0.74
RBX1,VCP,0.81
RNF125,VCP,0.84
VAPA,VCP,0.76
CDC34,VCP,0.77
NFKBIA,VCP,0.76
PSMC1,VCP,0.87
RNF31,VCP,0.91
APOB,VCP,0.82
HSP90AA1,VCP,0.92
DERL2,VCP,0.93
SEL1L,VCP,0.93
UFD1,VCP,1.0
ERLEC1,VCP,0.82
USP13,VCP,0.84
RFC2,VCP,0.81
CUL1,VCP,0.88
IFT88,VCP,0.93
RCN1,VCP,0.73
SEC61A1,VCP,0.86
PSMA4,VCP,0.73
CUL3,VCP,0.88
CFTR,VCP,0.89
SPRTN,VCP,0.92
PSMC4,VCP,0.74
G3BP1,VCP,0.76
VCP,NACA2,0.86
VCP,C4A,0.74
VCP,C4B,0.74
VCP,UBA52,0.89
VCP,UBXN2B,0.93
VCP,DCTN1,0.89
VCP,PPP1R11,0.76
VCP,BAG6,0.88
VCP,RNF5,0.81
VCP,LTN1,0.89
VCP,UBE2J1,0.73
VCP,ATAD3A,0.72
VCP,SERPINA1,0.76
VCP,PCBP2,0.72
VCP,NCOR2,0.76
VCP,L3MBTL1,0.76
VCP,PRKN,0.84
VCP,HSF1,0.93
VCP,FAF1,0.99
VCP,CHEK2,0.76
VCP,RAD23A,0.77
VCP,TRAF6,0.82
VCP,LARP7,0.76
VCP,POLH,0.81
VCP,UBB,0.88
VCP,SF3B5,0.7
VCP,CNBP,0.71
VCP,ARL13B,0.81
VCP,TMEM129,0.93
VCP,RHOH,0.85
VCP,OTUB1,0.71
VCP,BTRC,0.88
CCNF,VCP,0.76
RFC4,VCP,0.81
UBXN10,VCP,0.89
PINK1,VCP,0.85
PCNT,VCP,0.81
SEC13,VCP,0.72
SYVN1,VCP,0.96
UBXN11,VCP,0.88
UBC,VCP,0.93
UBE2J2,VCP,0.91
PSMD4,VCP,0.77
SAR1B,VCP,0.72
CHD1,VCP,0.82
AKT1,VCP,0.76
RHBDD1,VCP,0.97
ERLIN2,VCP,0.86
MAP1LC3B,VCP,0.78
DHH,VCP,0.81
TLE3,VCP,0.7
UBL7,VCP,0.82
PLAA,VCP,0.96
FLNB,VCP,0.82
UBQLN1,VCP,0.88
UBAC2,VCP,0.76
RFC3,VCP,0.84
CDC73,VCP,0.87
FAM104A,VCP,0.88
PCNA,VCP,0.84
SELENOS,VCP,1.0
ACLY,VCP,0.73
SEM1,VCP,0.73
CALU,VCP,0.77
AVPR2,VCP,0.77
ATXN3L,VCP,0.93
NFE2L2,VCP,0.81
MFN2,VCP,0.77
SELENOK,VCP,0.93
AUP1,VCP,0.76
RPA2,VCP,0.87
PTGES3,VCP,0.94
RFC5,VCP,0.84
PPP2CA,VCP,0.76
CUL2,VCP,0.9
UBE4A,VCP,0.95
HSPA8,VCP,0.9
ERLIN1,VCP,0.88
TTC26,VCP,0.9
SCD,VCP,0.76
UBXN8,VCP,0.97
VCPKMT,VCP,0.98
UBL4A,VCP,0.82
PGK1,VCP,0.77
HM13,VCP,0.9
DERL3,VCP,0.86
HIF1A,VCP,0.77
HDAC6,VCP,0.99
IFT74,VCP,0.9
HSP90AB1,VCP,0.89
ACTB,VCP,0.82
KEAP1,VCP,0.87
NSFL1C,VCP,1.0
ENO1,VCP,0.81
TP53BP1,VCP,0.85
PTPN3,VCP,0.76
ATXN3,VCP,0.99
RAD51,VCP,0.73
HERPUD1,VCP,0.7
RNF19A,VCP,0.76
RFC1,VCP,0.81
BRCA1,VCP,0.88
VIM,VCP,0.88
NUB1,VCP,0.76
ULK1,TBK1,0.77
RNF135,TBK1,0.81
MGA,TBK1,0.71
TNIP2,TBK1,0.72
USP38,TBK1,0.7
RAB8B,TBK1,0.88
TNIP1,TBK1,0.81
STAT6,TBK1,0.93
TLR3,TBK1,0.96
LY96,TBK1,0.81
ICOS,TBK1,0.84
NLRP4,TBK1,0.91
NLRP14,TBK1,0.86
WIPI2,TBK1,0.87
TOMM70,TBK1,0.87
AMFR,TBK1,0.73
TRIM11,TBK1,0.75
RALB,TBK1,0.86
SNRNP200,TBK1,0.9
RPS27A,TBK1,0.76
RPTOR,TBK1,0.77
RIPK1,TBK1,0.97
TANK,TBK1,1.0
RNF128,TBK1,0.75
BBOX1,TBK1,0.71
TRAF2,TBK1,0.94
TRIM25,TBK1,0.81
TICAM1,TBK1,0.92
PRDX1,TBK1,0.74
TRIM23,TBK1,0.76
EXOC2,TBK1,0.92
DTX4,TBK1,0.88
LGALS3BP,TBK1,0.74
NFKB1,TBK1,0.71
RPS6KB1,TBK1,0.93
TSC2,TBK1,0.77
TAB1,TBK1,0.7
NFKBIA,TBK1,0.85
RNF31,TBK1,0.93
SH2D3C,TBK1,0.71
GSK3B,TBK1,0.95
TRAF5,TBK1,0.9
DNAJA2,TBK1,0.73
HDAC4,TBK1,0.87
TNFRSF1A,TBK1,0.93
BIRC3,TBK1,0.81
RB1CC1,TBK1,0.82
MYOM2,TBK1,0.95
APBA3,TBK1,0.71
DDX41,TBK1,0.86
RUVBL2,TBK1,0.74
