Source,Target,combined_score
DCTN1,HNRNPA1,0.636
DCTN1,UBQLN2,0.684
DCTN1,VCP,0.899
DCTN1,SQSTM1,0.776
GRN,SQSTM1,0.436
GRN,TBK1,0.442
GRN,SORL1,0.445
GRN,HNRNPA2B1,0.525
GRN,PSEN2,0.615
GRN,UBQLN2,0.615
HNRNPA1,TARDBP,0.997
HNRNPA1,TUBA4A,0.429
HNRNPA1,TBK1,0.406
HNRNPA1,MAPT,0.667
HNRNPA1,SQSTM1,0.459
HNRNPA1,VCP,0.692
HNRNPA1,TIA1,0.716
HNRNPA1,UBQLN2,0.852
HNRNPA1,HNRNPA2B1,0.998
HNRNPA2B1,TARDBP,0.998
HNRNPA2B1,TBK1,0.77
HNRNPA2B1,MAPT,0.589
HNRNPA2B1,UBQLN2,0.657
HNRNPA2B1,SQSTM1,0.512
HNRNPA2B1,VCP,0.679
HNRNPA2B1,TIA1,0.716
MAPT,TUBA4A,0.981
MAPT,SORL1,0.6
MAPT,TBK1,0.452
MAPT,PLA2G6,0.451
MAPT,UBQLN2,0.653
MAPT,SQSTM1,0.838
MAPT,TIA1,0.878
MAPT,PSEN2,0.883
PSEN1,SORL1,0.784
PSEN1,SQSTM1,0.479
PSEN1,UBQLN2,0.7
PSEN1,PSEN2,0.999
PSEN2,TARDBP,0.634
PSEN2,SORL1,0.778
PSEN2,UBQLN2,0.497
PSEN2,VCP,0.45
SQSTM1,TARDBP,0.95
SQSTM1,TUBA4A,0.419
SQSTM1,TBK1,0.995
SQSTM1,UBQLN2,0.794
SQSTM1,VCP,0.884
SQSTM1,TIA1,0.4
TARDBP,TUBA4A,0.533
TARDBP,TBK1,0.73
TARDBP,TIA1,0.927
TARDBP,UBQLN2,0.968
TBK1,TUBA4A,0.496
TBK1,VCP,0.692
TBK1,UBQLN2,0.797
TIA1,UBQLN2,0.645
TIA1,VCP,0.483
TUBA4A,UBQLN2,0.612
TUBA4A,VCP,0.618
UBQLN2,VCP,0.938
FUS,UBQLN2,0.952
ACTB,GABARAPL2,0.525
ACTB,PSMC4,0.418
ACTB,TNFRSF1A,0.523
ACTB,UQCRC1,0.42
ACTB,MAPK13,0.452
ACTB,MAPK12,0.456
ACTB,XBP1,0.634
ACTB,PSMA3,0.415
ACTB,TUBB1,0.591
ACTB,DCTN6,0.916
ACTB,PSMA2,0.519
ACTB,PFN1,0.999
ACTB,MAPK14,0.573
ACTB,TARDBP,0.529
ACTB,TUBA4A,0.825
ACTB,FUS,0.477
ACTB,ACTR10,0.987
ACTB,EIF2S1,0.598
ACTB,DCTN3,0.896
ACTB,TUBB2B,0.584
ACTB,ATP5F1B,0.638
ACTB,PIK3C3,0.448
ACTB,NDUFS3,0.42
ACTB,TUBB4A,0.801
ACTB,PSMD3,0.507
ACTB,SDHA,0.692
ACTB,NDUFA9,0.406
ACTB,UQCRC2,0.525
ACTB,TP53,0.879
ACTB,SOD1,0.658
ACTB,RAB5A,0.502
ACTB,SLC1A2,0.435
ACTB,NRG1,0.492
ACTB,ACTR1B,0.542
ACTB,GRIN2C,0.506
ACTB,BAX,0.611
ACTB,GRIA2,0.447
ACTB,NDUFB8,0.464
ACTB,DCTN5,0.922
ACTB,GABARAP,0.464
ACTB,EIF2AK3,0.772
ACTB,CYCS,0.871
ACTB,CASP3,0.989
ACTB,NEFH,0.4
ACTB,TUBA3E,0.543
ACTB,TUBB6,0.759
ACTB,TUBB3,0.731
ACTB,PFN4,0.999
ACTB,HSPA5,0.808
ACTB,ULK1,0.412
ACTB,TUBA3D,0.663
ACTB,NOS2,0.576
ACTB,TBK1,0.562
ACTB,CASP9,0.819
ACTB,GRIN2A,0.535
ACTB,TUBA8,0.55
ACTB,MAPK11,0.474
ACTB,ATF4,0.548
ACTB,TUBA1B,0.782
ACTB,TUBB,0.844
ACTB,TUBB4B,0.672
ACTB,HNRNPA1,0.704
ACTB,ERBB4,0.448
ACTB,MAP2K3,0.409
ACTB,HNRNPA2B1,0.613
ACTB,PFN3,0.999
ACTB,VCP,0.728
ACTB,MAP3K5,0.447
ACTB,MT-CO1,0.57
ACTB,MT-CYB,0.522
ACTB,MTOR,0.752
ACTB,GPX6,0.59
ACTB,GPX7,0.594
ACTB,MT-ND1,0.429
ACTB,DCTN1,0.971
ACTB,MT-CO2,0.56
ACTB,BECN1,0.785
ACTB,PRKN,0.711
ACTB,ATF6,0.627
ACTB,SDHC,0.766
ACTB,ACTR1A,0.977
ACTB,PSMA7,0.637
ACTB,GRIN1,0.438
ACTB,ITPR3,0.402
ACTB,PINK1,0.547
ACTB,SDHB,0.632
ACTB,BCL2L1,0.784
ACTB,COX4I2,0.5
ACTB,HDAC6,0.716
ACTB,TUBB2A,0.832
ACTB,TUBAL3,0.566
ACTB,GPX3,0.593
ACTB,GPX2,0.593
ACTB,SQSTM1,0.725
ACTB,VDAC1,0.864
ACTB,BCL2,0.885
ACTB,ATP5F1A,0.642
ACTB,GPX5,0.591
ACTB,TNF,0.847
ACTB,ERN1,0.644
ACTB,DCTN2,0.95
ACTB,GABARAPL1,0.473
ACTB,PSMA1,0.569
ACTB,DCTN4,0.945
ACTB,GPX8,0.594
ACTB,GRIA1,0.545
ACTB,CASP1,0.729
ACTB,TUBA1A,0.838
ACTB,TUBA1C,0.825
ACTB,APAF1,0.572
ACTB,DDIT3,0.593
ACTB,COX4I1,0.763
ACTB,ACTG1,0.999
ACTB,GRIN2B,0.738
ACTB,NOS1,0.625
ACTB,NEFL,0.441
ACTB,PSMB3,0.543
ACTG1,PFN1,0.992
ACTG1,TRAF2,0.688
ACTG1,TUBA4A,0.547
ACTG1,ACTR10,0.573
ACTG1,TUBB2B,0.478
ACTG1,ATP5F1B,0.484
ACTG1,ACTR1B,0.442
ACTG1,DCTN5,0.433
ACTG1,CYCS,0.533
ACTG1,CASP3,0.922
ACTG1,TUBA3E,0.507
ACTG1,TUBB6,0.439
ACTG1,PFN4,0.991
ACTG1,HSPA5,0.475
ACTG1,TUBA8,0.579
ACTG1,TUBA1B,0.726
ACTG1,TUBB,0.773
ACTG1,TUBB4B,0.522
ACTG1,ATP5F1C,0.591
ACTG1,PFN3,0.987
ACTG1,VCP,0.516
ACTG1,DCTN1,0.442
ACTG1,ACTR1A,0.652
ACTG1,NDUFA8,0.402
ACTG1,TUBB2A,0.725
ACTG1,TUBAL3,0.546
ACTG1,ATP5F1A,0.511
ACTG1,DCTN2,0.58
ACTG1,DCTN4,0.559
ACTG1,TUBA1A,0.788
ACTG1,TUBA1C,0.754
ACTR10,DCTN6,0.999
ACTR10,TUBB4B,0.408
ACTR10,PFN4,0.435
ACTR10,KLC2,0.557
ACTR10,KLC4,0.564
ACTR10,KIF5A,0.578
ACTR10,KLC3,0.585
ACTR10,KIF5B,0.593
ACTR10,KLC1,0.617
ACTR10,SOD1,0.69
ACTR10,HAP1,0.831
ACTR10,ACTR1B,0.995
ACTR10,DCTN3,0.996
ACTR10,DCTN2,0.999
ACTR10,DCTN1,0.999
ACTR10,DCTN5,0.999
ACTR10,DCTN4,0.999
ACTR10,ACTR1A,0.999
ACTR1A,DCTN6,0.999
ACTR1A,PFN1,0.477
ACTR1A,DCTN3,0.998
ACTR1A,KLC4,0.573
ACTR1A,SOD1,0.662
ACTR1A,ACTR1B,0.992
ACTR1A,DCTN5,0.999
ACTR1A,RAB8A,0.552
ACTR1A,KIF5B,0.624
ACTR1A,PFN4,0.483
ACTR1A,HAP1,0.88
ACTR1A,TUBB4B,0.459
ACTR1A,VCP,0.506
ACTR1A,DCTN1,0.999
ACTR1A,DNAH10,0.43
ACTR1A,OPTN,0.506
ACTR1A,KIF5A,0.556
ACTR1A,KLC3,0.576
ACTR1A,KLC2,0.608
ACTR1A,KLC1,0.674
ACTR1A,DCTN4,0.999
ACTR1A,DCTN2,0.999
ACTR1B,DCTN6,0.993
ACTR1B,DCTN3,0.992
ACTR1B,SOD1,0.664
ACTR1B,TUBA1C,0.416
ACTR1B,PFN4,0.505
ACTR1B,UQCRH,0.509
ACTR1B,HAP1,0.8
ACTR1B,DCTN5,0.993
ACTR1B,DCTN1,0.997
ACTR1B,DCTN2,0.998
ACTR1B,DCTN4,0.998
ADRM1,PSMA4,0.978
ADRM1,PSMC4,0.999
ADRM1,PSMD8,0.999
ADRM1,PSMA3,0.96
ADRM1,PSMD7,0.999
ADRM1,PSMA2,0.972
ADRM1,EIF2S1,0.468
ADRM1,PSMB7,0.921
ADRM1,PSMC1,0.999
ADRM1,PSMA6,0.967
ADRM1,PSMD11,0.999
ADRM1,PSMB1,0.98
ADRM1,PSMD3,0.999
ADRM1,SOD1,0.819
ADRM1,PSMB6,0.945
ADRM1,PSMA5,0.975
ADRM1,PSMB4,0.967
ADRM1,PSMD1,0.999
ADRM1,PSMD2,0.999
ADRM1,PSMC5,0.998
ADRM1,PSMA8,0.869
ADRM1,UBQLN2,0.982
ADRM1,UBQLN3,0.591
ADRM1,PSMD12,0.999
ADRM1,VCP,0.562
ADRM1,PSMB5,0.961
ADRM1,PRKN,0.953
ADRM1,UBQLN4,0.637
ADRM1,PSMD4,0.999
ADRM1,PSMA7,0.937
ADRM1,PSMB2,0.987
ADRM1,UBQLN1,0.924
ADRM1,PSMD14,0.999
ADRM1,PSMC2,0.999
ADRM1,PSMA1,0.983
ADRM1,PSMD9,0.885
ADRM1,PSMB3,0.965
ADRM1,PSMC3,0.998
ADRM1,PSMC6,0.999
ALS2,SETX,0.909
ALS2,PFN1,0.58
ALS2,FIG4,0.854
ALS2,TARDBP,0.828
ALS2,TUBA4A,0.543
ALS2,FUS,0.822
ALS2,SPG11,0.798
ALS2,CHMP2B,0.789
ALS2,ANG,0.447
ALS2,HNRNPA1,0.463
ALS2,MT-ND4,0.469
ALS2,RANBP2,0.489
ALS2,SQSTM1,0.511
ALS2,TBK1,0.518
ALS2,KIF5A,0.542
ALS2,SIGMAR1,0.613
ALS2,MATR3-2,0.614
ALS2,VCP,0.683
ALS2,UBQLN2,0.733
ALS2,NEFH,0.736
ALS2,ATXN2,0.741
ALS2,OPTN,0.772
ALS2,DCTN1,0.794
ALS2,C9orf72,0.819
ALS2,VAPB,0.879
ALS2,SOD1,0.891
ALS2,RAB5A,0.991
ALYREF,NUP107,0.647
ALYREF,NUP155,0.649
ALYREF,TARDBP,0.809
ALYREF,NUP85,0.589
ALYREF,FUS,0.453
ALYREF,NUP210,0.543
ALYREF,NXT1,0.91
ALYREF,NUP133,0.617
ALYREF,NUP54,0.6
ALYREF,RANBP2,0.734
ALYREF,NUP205,0.578
ALYREF,NUP35,0.563
ALYREF,GLE1,0.842
ALYREF,NUP93,0.688
ALYREF,NUP98,0.74
ALYREF,SRSF7,0.958
ALYREF,HNRNPA1,0.957
ALYREF,NUP43,0.597
ALYREF,NUP50,0.672
ALYREF,HNRNPA2B1,0.877
ALYREF,HNRNPA1L2,0.523
ALYREF,NUP214,0.816
ALYREF,MATR3-2,0.857
ALYREF,TPR,0.84
ALYREF,NDC1,0.522
ALYREF,NUP188,0.509
ALYREF,SRSF3,0.95
ALYREF,NCBP1,0.998
ALYREF,NUP160,0.592
ALYREF,NUP58,0.507
ALYREF,SEC13,0.543
ALYREF,SQSTM1,0.414
ALYREF,HNRNPA3,0.871
ALYREF,NXF3,0.965
ALYREF,POM121,0.563
ALYREF,RAE1,0.942
ALYREF,SEH1L,0.573
ALYREF,POM121C,0.57
ALYREF,NUP37,0.622
ALYREF,NUP88,0.625
ALYREF,NUP62,0.677
ALYREF,C9orf72,0.68
ALYREF,NUP153,0.708
ALYREF,NXF5,0.957
ALYREF,NXF2B,0.964
ALYREF,NXF1,0.999
ANG,SETX,0.674
ANG,TARDBP,0.543
ANG,FUS,0.529
ANG,TP53,0.692
ANG,SOD1,0.631
ANG,UBQLN2,0.402
ANG,ATXN2,0.418
ANG,OPTN,0.474
ANG,C9orf72,0.505
ANXA11,TARDBP,0.419
ANXA11,TUBA4A,0.493
ANXA11,FUS,0.409
ANXA11,UBQLN2,0.457
ANXA11,VCP,0.429
ANXA11,MATR3-2,0.41
ANXA11,ANXA7,0.92
ANXA11,C9orf72,0.416
ANXA7,TP53,0.409
ANXA7,CYCS,0.456
ANXA7,NDUFV1,0.428
ANXA7,BCL2,0.483
APAF1,TNFRSF1A,0.599
APAF1,TRAF2,0.441
APAF1,TP53,0.974
APAF1,BAX,0.922
APAF1,CYCS,0.999
APAF1,CASP3,0.999
APAF1,CYC1,0.68
APAF1,BID,0.61
APAF1,HSPA5,0.475
APAF1,CASP9,0.999
APAF1,HNRNPA1,0.423
APAF1,HNRNPA2B1,0.466
APAF1,MAP3K5,0.458
APAF1,MTOR,0.505
APAF1,GPX6,0.444
APAF1,GPX7,0.444
APAF1,BECN1,0.482
APAF1,PSMA7,0.646
APAF1,BCL2L1,0.996
APAF1,GPX3,0.442
APAF1,GPX2,0.444
APAF1,SQSTM1,0.47
APAF1,BAD,0.434
APAF1,VDAC1,0.464
APAF1,BCL2,0.993
APAF1,GPX5,0.444
APAF1,TNF,0.694
APAF1,NDUFA5,0.46
APAF1,GPX8,0.444
APAF1,CASP1,0.817
ATF4,XBP1,0.917
ATF4,TRAF2,0.403
ATF4,EIF2S1,0.989
ATF4,TP53,0.45
ATF4,BAX,0.417
ATF4,EIF2AK3,0.992
ATF4,CYCS,0.453
ATF4,CASP3,0.602
ATF4,HSPA5,0.975
ATF4,ULK1,0.406
ATF4,CASP9,0.435
ATF4,TNF,0.405
ATF4,PINK1,0.434
ATF4,SQSTM1,0.453
ATF4,BECN1,0.472
ATF4,MAP3K5,0.513
ATF4,MTOR,0.572
ATF4,BCL2,0.597
ATF4,ERN1,0.835
ATF4,ATF6,0.942
ATF4,DDIT3,0.996
ATF6,XBP1,0.998
ATF6,MAPK14,0.513
ATF6,TRAF2,0.572
ATF6,EIF2S1,0.923
ATF6,DERL1,0.511
ATF6,PIK3C3,0.431
ATF6,WIPI1,0.422
ATF6,TP53,0.51
ATF6,SOD1,0.423
ATF6,SIGMAR1,0.473
ATF6,BAX,0.447
ATF6,EIF2AK3,0.978
ATF6,CYCS,0.614
ATF6,CASP3,0.737
ATF6,HSPA5,0.999
ATF6,CASP9,0.627
ATF6,VCP,0.593
ATF6,MAP3K5,0.712
ATF6,MTOR,0.523
ATF6,BECN1,0.645
ATF6,PINK1,0.409
ATF6,CASP1,0.467
ATF6,SQSTM1,0.471
ATF6,BCL2L1,0.504
ATF6,TNF,0.523
ATF6,ITPR3,0.537
ATF6,BCL2,0.716
ATF6,ERN1,0.976
ATF6,VAPB,0.989
ATF6,DDIT3,0.989
ATG101,RB1CC1,0.999
ATG101,GABARAPL2,0.822
ATG101,ATG14,0.994
ATG101,PIK3C3,0.989
ATG101,WIPI1,0.897
ATG101,NRBF2,0.962
ATG101,WIPI2,0.849
ATG101,WDR41,0.785
ATG101,RAB8A,0.475
ATG101,GABARAP,0.837
ATG101,ULK1,0.999
ATG101,BCL2,0.407
ATG101,PSMD4,0.408
ATG101,PINK1,0.479
ATG101,OPTN,0.505
ATG101,ATG2B,0.633
ATG101,SQSTM1,0.715
ATG101,ATG2A,0.72
ATG101,GABARAPL1,0.826
ATG101,SMCR8,0.895
ATG101,BECN2,0.947
ATG101,MTOR,0.977
ATG101,C9orf72,0.979
ATG101,PIK3R4,0.985
ATG101,BECN1,0.988
ATG101,ULK2,0.999
ATG14,RB1CC1,0.999
ATG14,GABARAPL2,0.994
ATG14,CASP3,0.405
ATG14,PRKN,0.442
ATG14,PINK1,0.551
ATG14,OPTN,0.644
ATG14,MTOR,0.683
ATG14,BCL2L1,0.691
ATG14,RAB5A,0.712
ATG14,ATG2B,0.733
ATG14,ATG2A,0.736
ATG14,SQSTM1,0.822
ATG14,WIPI1,0.889
ATG14,BCL2,0.929
ATG14,WIPI2,0.935
ATG14,ULK2,0.985
ATG14,GABARAP,0.993
ATG14,GABARAPL1,0.993
ATG14,BECN2,0.999
ATG14,PIK3R4,0.999
ATG14,NRBF2,0.999
ATG14,ULK1,0.999
ATG14,PIK3C3,0.999
ATG14,BECN1,0.999
ATG2A,RB1CC1,0.758
ATG2A,GABARAPL2,0.708
ATG2A,PIK3C3,0.668
ATG2A,WIPI1,0.998
ATG2A,WIPI2,0.995
ATG2A,GABARAP,0.892
ATG2A,ULK1,0.991
ATG2A,PIK3R4,0.685
ATG2A,ATG2B,0.959
ATG2A,BECN1,0.639
ATG2A,SQSTM1,0.545
ATG2A,TOMM40,0.67
ATG2A,GABARAPL1,0.847
ATG2A,ULK2,0.989
ATG2B,RB1CC1,0.718
ATG2B,GABARAPL2,0.6
ATG2B,PIK3C3,0.622
ATG2B,WIPI1,0.996
ATG2B,WIPI2,0.993
ATG2B,GABARAP,0.733
ATG2B,ULK1,0.988
ATG2B,PIK3R4,0.653
ATG2B,SQSTM1,0.574
ATG2B,BECN1,0.677
ATG2B,GABARAPL1,0.775
ATG2B,ULK2,0.99
ATP5F1A,NDUFB4,0.499
ATP5F1A,UQCRC1,0.97
ATP5F1A,ATP5F1D,0.999
ATP5F1A,PSMD7,0.465
ATP5F1A,COX6A1,0.505
ATP5F1A,NDUFS7,0.68
ATP5F1A,ATP5F1E,0.999
ATP5F1A,NDUFA2,0.574
ATP5F1A,NDUFA10,0.759
ATP5F1A,COX5B,0.922
ATP5F1A,NDUFB5,0.829
ATP5F1A,PSMD11,0.541
ATP5F1A,ATP5F1B,0.999
ATP5F1A,NDUFS3,0.932
ATP5F1A,SDHA,0.972
ATP5F1A,NDUFA9,0.947
ATP5F1A,UQCRC2,0.986
ATP5F1A,NDUFB10,0.646
ATP5F1A,SOD1,0.53
ATP5F1A,PSMA5,0.444
ATP5F1A,NDUFS6,0.451
ATP5F1A,NDUFB9,0.814
ATP5F1A,NDUFC2,0.457
ATP5F1A,ATP5MC3,0.998
ATP5F1A,COX6A2,0.475
ATP5F1A,ATP5PO,0.999
ATP5F1A,NDUFS4,0.692
ATP5F1A,NDUFB8,0.943
ATP5F1A,ATP5PD,0.999
ATP5F1A,UQCRFS1,0.95
ATP5F1A,CYCS,0.635
ATP5F1A,UQCRH,0.591
ATP5F1A,NDUFS8,0.801
ATP5F1A,CYC1,0.991
ATP5F1A,COX5A,0.979
ATP5F1A,COX8A,0.468
ATP5F1A,HSPA5,0.63
ATP5F1A,NDUFV2,0.897
ATP5F1A,NDUFA12,0.708
ATP5F1A,UQCR10,0.56
ATP5F1A,NDUFA4,0.725
ATP5F1A,NDUFV3,0.599
ATP5F1A,ATP5F1C,0.999
ATP5F1A,VCP,0.457
ATP5F1A,MT-CO1,0.928
ATP5F1A,MT-CYB,0.785
ATP5F1A,MTOR,0.433
ATP5F1A,MT-ATP6,0.999
ATP5F1A,MT-ND1,0.673
ATP5F1A,MT-ND4L,0.459
ATP5F1A,MT-ND5,0.574
ATP5F1A,MT-CO2,0.719
ATP5F1A,MT-ND4,0.654
ATP5F1A,MT-CO3,0.488
ATP5F1A,MT-ND2,0.567
ATP5F1A,MT-ND3,0.567
ATP5F1A,MT-ATP8,0.994
ATP5F1A,SDHC,0.774
ATP5F1A,NDUFS2,0.98
ATP5F1A,ATP5PB,0.999
ATP5F1A,COX7A2,0.68
ATP5F1A,NDUFA1,0.488
ATP5F1A,NDUFS5,0.411
ATP5F1A,NDUFA8,0.649
ATP5F1A,SDHB,0.949
ATP5F1A,SDHD,0.761
ATP5F1A,COX4I2,0.876
ATP5F1A,UQCRQ,0.647
ATP5F1A,NDUFB6,0.586
ATP5F1A,ATP5MC1,0.998
ATP5F1A,VDAC1,0.889
ATP5F1A,NDUFB3,0.419
ATP5F1A,TUBA1C,0.446
ATP5F1A,NDUFB2,0.471
ATP5F1A,PSMD14,0.475
ATP5F1A,COX7B,0.488
ATP5F1A,UQCR11,0.549
ATP5F1A,TOMM40,0.563
ATP5F1A,COX6B1,0.577
ATP5F1A,NDUFA13,0.585
ATP5F1A,COX7C,0.639
ATP5F1A,COX6C,0.656
ATP5F1A,NDUFA6,0.7
ATP5F1A,NDUFA5,0.724
ATP5F1A,NDUFAB1,0.767
ATP5F1A,UQCRB,0.777
ATP5F1A,COX4I1,0.922
ATP5F1A,NDUFV1,0.958
ATP5F1A,NDUFS1,0.961
ATP5F1A,ATP5MC2,0.997
ATP5F1A,ATP5PF,0.999
ATP5F1B,NDUFB4,0.613
ATP5F1B,UQCRC1,0.969
ATP5F1B,ATP5F1D,0.999
ATP5F1B,PSMA3,0.441
ATP5F1B,COX6A1,0.564
ATP5F1B,NDUFS7,0.603
ATP5F1B,ATP5F1E,0.999
ATP5F1B,NDUFA2,0.571
ATP5F1B,NDUFA10,0.938
ATP5F1B,FUS,0.688
ATP5F1B,COX5B,0.886
ATP5F1B,NDUFB5,0.729
ATP5F1B,COX6B2,0.406
ATP5F1B,SDHC,0.408
ATP5F1B,PSMA1,0.411
ATP5F1B,NDUFA1,0.413
ATP5F1B,PSMB6,0.415
ATP5F1B,NDUFV3,0.418
ATP5F1B,COX7B,0.434
ATP5F1B,TUBA1A,0.439
ATP5F1B,TUBB4B,0.441
ATP5F1B,NDUFA7,0.446
ATP5F1B,COX6A2,0.46
ATP5F1B,NDUFA6,0.461
ATP5F1B,MT-ND5,0.469
ATP5F1B,NDUFA3,0.47
ATP5F1B,SDHD,0.473
ATP5F1B,TUBA1C,0.482
ATP5F1B,TUBA1B,0.491
ATP5F1B,NDUFB6,0.494
ATP5F1B,UQCR10,0.494
ATP5F1B,COX6C,0.513
ATP5F1B,MT-ND2,0.514
ATP5F1B,NDUFS4,0.515
ATP5F1B,NDUFS5,0.518
ATP5F1B,NDUFC2,0.52
ATP5F1B,TUBB,0.528
ATP5F1B,NDUFA8,0.543
ATP5F1B,HSPA5,0.55
ATP5F1B,MT-ND4,0.553
ATP5F1B,UQCR11,0.555
ATP5F1B,MT-CO1,0.571
ATP5F1B,COX8A,0.572
ATP5F1B,UQCRH,0.581
ATP5F1B,NDUFA4,0.581
ATP5F1B,NDUFA5,0.583
ATP5F1B,NDUFB3,0.585
ATP5F1B,NDUFB10,0.595
ATP5F1B,MT-ND1,0.599
ATP5F1B,MT-CYB,0.599
ATP5F1B,VCP,0.601
ATP5F1B,CYCS,0.606
ATP5F1B,NDUFV2,0.632
ATP5F1B,NDUFB9,0.637
ATP5F1B,COX7C,0.637
ATP5F1B,MT-CO2,0.648
ATP5F1B,COX7A2,0.651
ATP5F1B,NDUFS6,0.654
ATP5F1B,COX6B1,0.663
ATP5F1B,UQCRQ,0.669
ATP5F1B,NDUFA13,0.669
ATP5F1B,NDUFAB1,0.677
ATP5F1B,UQCRB,0.677
ATP5F1B,TOMM40,0.727
ATP5F1B,NDUFS8,0.737
ATP5F1B,NDUFA12,0.737
ATP5F1B,NDUFS3,0.864
ATP5F1B,COX4I2,0.866
ATP5F1B,SDHB,0.879
ATP5F1B,NDUFB8,0.885
ATP5F1B,VDAC1,0.888
ATP5F1B,NDUFV1,0.891
ATP5F1B,UQCRFS1,0.914
ATP5F1B,SDHA,0.917
ATP5F1B,UQCRC2,0.942
ATP5F1B,NDUFA9,0.95
ATP5F1B,COX4I1,0.952
ATP5F1B,COX5A,0.952
ATP5F1B,NDUFS2,0.97
ATP5F1B,CYC1,0.976
ATP5F1B,NDUFS1,0.977
ATP5F1B,ATP5MC2,0.99
ATP5F1B,ATP5MC3,0.995
ATP5F1B,ATP5MC1,0.995
ATP5F1B,MT-ATP8,0.995
ATP5F1B,ATP5PD,0.999
ATP5F1B,MT-ATP6,0.999
ATP5F1B,ATP5PF,0.999
ATP5F1B,ATP5PO,0.999
ATP5F1B,ATP5PB,0.999
ATP5F1B,ATP5F1C,0.999
ATP5F1C,NDUFB4,0.757
ATP5F1C,UQCRC1,0.955
ATP5F1C,ATP5F1D,0.999
ATP5F1C,NDUFB7,0.757
ATP5F1C,PSMA2,0.433
ATP5F1C,COX6A1,0.779
ATP5F1C,NDUFS7,0.722
ATP5F1C,ATP5F1E,0.999
ATP5F1C,NDUFA2,0.753
ATP5F1C,NDUFA10,0.919
ATP5F1C,COX5B,0.944
ATP5F1C,NDUFB5,0.919
ATP5F1C,PSMA6,0.562
ATP5F1C,NDUFS3,0.981
ATP5F1C,SDHA,0.75
ATP5F1C,NDUFA9,0.934
ATP5F1C,UQCRC2,0.98
ATP5F1C,NDUFB10,0.75
ATP5F1C,SOD1,0.428
ATP5F1C,NDUFS6,0.771
ATP5F1C,NDUFB9,0.974
ATP5F1C,NDUFC2,0.665
ATP5F1C,ATP5MC3,0.999
ATP5F1C,COX6A2,0.738
ATP5F1C,ATP5PO,0.999
